stfips,county_name,state,cat_rucc,air_EQI_22July2013,water_EQI_22July2013,land_EQI_22July2013,sociod_EQI_22July2013,built_EQI_22July2013,EQI_22July2013,RUCC1_air_EQI_22July2013,RUCC1_water_EQI_22July2013,RUCC1_land_EQI_22July2013,RUCC1_sociod_EQI_22July2013,RUCC1_built_EQI_22July2013,RUCC1_EQI_22July2013,RUCC2_air_EQI_22July2013,RUCC2_water_EQI_22July2013,RUCC2_land_EQI_22July2013,RUCC2_sociod_EQI_22July2013,RUCC2_built_EQI_22July2013,RUCC2_EQI_22July2013,RUCC3_air_EQI_22July2013,RUCC3_water_EQI_22July2013,RUCC3_land_EQI_22July2013,RUCC3_sociod_EQI_22July2013,RUCC3_built_EQI_22July2013,RUCC3_EQI_22July2013,RUCC4_air_EQI_22July2013,RUCC4_water_EQI_22July2013,RUCC4_land_EQI_22July2013,RUCC4_sociod_EQI_22July2013,RUCC4_built_EQI_22July2013,RUCC4_EQI_22July2013
02201,Prince of Wales -,AK,4,-2.296175,-1.542946,-5.207646,-0.6278603,-1.202192,-3.219114,,,,,,,,,,,,,,,,,,,-1.299409,-1.296775,-4.557235,0.6786754,-0.3662392,-2.487451
02220,Sitka Borough,AK,3,-1.009591,-0.3673916,-5.130077,0.9889427,-6.085963,-3.685732,,,,,,,,,,,,,-1.28166,-0.4167896,-4.954795,1.751328,-8.145884,-4.764727,,,,,,
02232,Skagway-Hoonah-An,AK,4,-2.320485,-1.555275,-4.901337,-0.8521042,0.2396614,-2.705859,,,,,,,,,,,,,,,,,,,-1.294544,-1.301631,-4.324496,0.4984275,0.9372934,-2.025068
02240,Southeast Fairban,AK,4,-2.591708,0.0098974,-5.132557,-1.450158,1.324438,-2.405642,,,,,,,,,,,,,,,,,,,-1.612755,0.2061313,-4.500379,-0.5028387,1.286388,-1.948798
02261,Valdez-Cordova Ce,AK,4,-2.484015,-0.0257573,-5.103568,0.1248401,1.761043,-1.604433,,,,,,,,,,,,,,,,,,,-1.480111,0.1689518,-4.503374,1.152632,1.871169,-0.8905818
02270,Wade Hampton Cens,AK,4,-2.838771,0.0008726,-5.096141,-3.546907,-3.522407,-5.050218,,,,,,,,,,,,,,,,,,,-1.825397,0.1933929,-4.49151,-2.539588,-2.089669,-4.722041
02280,Wrangell-Petersbu,AK,3,-2.548857,-1.562972,-5.13949,0.3218054,-2.017813,-3.224976,,,,,,,,,,,,,-3.573542,-1.720302,-4.963054,1.052075,-3.061392,-3.676274,,,,,,
02282,Yakutat Borough,AK,4,-3.258012,-1.506526,-4.985477,-1.151507,-0.1887984,-3.317797,,,,,,,,,,,,,,,,,,,-2.317458,-1.273534,-4.368528,0.1947617,0.571611,-2.389419
02290,Yukon-Koyukuk Cen,AK,4,-2.291608,0.0490684,-5.074229,-3.038175,-1.245598,-3.820868,,,,,,,,,,,,,,,,,,,-1.316411,0.2427028,-4.495392,-2.19013,-0.1922207,-3.661496
04001,Apache County,AZ,3,-1.251814,0.9266468,0.0935677,-3.866283,-2.007471,-2.448394,,,,,,,,,,,,,-1.683419,0.9102801,0.2679729,-3.846911,-2.600591,-2.770562,,,,,,
